daily_screen_time_min,num_app_switches,sleep_hours,notification_count,social_media_time_min,focus_score,mood_score,anxiety_level,digital_wellbeing_score
405.5,50,7.1,57,154.1,6.7,9.3,2.5,70.5
328.2,32,4.3,105,150.8,6.9,9.8,10,40.8
325.5,55,5.8,86,203.2,6.9,8.7,10,45
343.5,37,5.6,93,112.1,7.6,9.2,10,47.1
221.9,47,5.8,88,150.1,7.5,8.6,5.6,60.7
269.1,47,6.3,89,124.4,6.6,8.5,9.6,46.6
442,53,5.9,46,178.3,6.7,8.8,3.6,63.8
458.7,42,4.1,106,87.7,6.3,8.3,10,37.4
345.1,53,7.4,109,153.5,6.7,8.7,9.3,50.9
394.6,45,5.2,74,111.2,7.3,9.2,10,44.7
378.7,46,6.8,78,117.1,7.2,9.8,10,49.3
544.7,53,9,41,124.1,5.8,9.1,5.5,63.7
427.2,43,5.4,92,131.4,7.3,9.2,7.6,52.6
352.3,52,3.5,94,114.8,7,8.5,10,38.3
302.7,53,6.2,78,129.7,7.8,8.7,7.7,56.7
263.6,57,7.8,108,191,7.1,9.2,10,52
372.2,52,8.9,71,164.3,7.6,8.7,9.6,57.9
314.6,57,5,94,159.1,7.1,8.4,6.7,53.5
274.7,41,7.1,54,99.5,8.4,8.4,1.4,80.8
321.2,63,5.9,79,80,7.1,8.5,9.3,48.4
295.1,47,6.4,75,163,7.3,8.5,9.5,49.6
461.2,49,9.7,85,159.4,7.8,8.8,9.9,60.3
412.9,65,4.7,70,186.3,7.1,8.4,10,42.3
359.5,40,6.8,76,92.8,7.5,8.6,10,50.5
448.8,60,7.1,100,109.7,5.7,9.6,9.9,44.2
364.6,45,7.8,69,46.2,6.5,9.5,6,61.7
308.3,62,6.6,39,102.3,7.5,9.3,8.9,53.1
451.4,56,6.9,123,164.8,6.2,8.6,9.6,46.6
392.3,58,6,114,99,6.1,8.3,10,42.4
297.8,56,6.8,47,148.8,7.5,9.1,10,50.4
348.6,42,6.1,97,111.4,7.8,10,10,49.5
307.5,33,7.2,67,134.6,8,9.3,4,71.6
277,41,6.1,86,68.4,6.8,8.8,6.3,56.5
